,precision,recall,f1-score,support
angry,0.65625,0.5887850467289719,0.6206896551724138,107.0
disgust,0.32926829268292684,0.225,0.26732673267326734,120.0
fear,0.42857142857142855,0.21951219512195122,0.2903225806451613,41.0
happy,0.8868778280542986,0.7587096774193548,0.8178025034770514,775.0
neutral,0.5413793103448276,0.7566265060240964,0.6311557788944724,415.0
sad,0.5682451253481894,0.6732673267326733,0.6163141993957704,303.0
surprise,0.7602339181286549,0.6161137440758294,0.680628272251309,211.0
accuracy,0.6769776876267748,0.6769776876267748,0.6769776876267748,0.6769776876267748
macro avg,0.5958322718757608,0.5482877851575539,0.5606056746442064,1972.0
weighted avg,0.6956859705548744,0.6769776876267748,0.67772747623152,1972.0
