,precision,recall,f1-score,support
angry,0.6048387096774194,0.5067567567567568,0.5514705882352942,888.0
disgust,0.7731006160164271,0.847972972972973,0.8088077336197637,888.0
fear,0.5281437125748503,0.4966216216216216,0.5118978525827046,888.0
happy,0.8648967551622418,0.8573099415204678,0.8610866372980911,1710.0
neutral,0.6096385542168675,0.6195918367346939,0.6145748987854251,1225.0
sad,0.5123194562446899,0.6153061224489796,0.5591098748261474,980.0
surprise,0.7904642409033877,0.7094594594594594,0.7477744807121661,888.0
accuracy,0.6832730681665997,0.6832730681665997,0.6832730681665997,0.6832730681665997
macro avg,0.6690574349708405,0.6647169587878503,0.6649602951513703,7467.0
weighted avg,0.6860034459980854,0.6832730681665997,0.6829725806742524,7467.0
